title,start,end,description,place,location,source,source_url,media,media_credit,maps,video,metadata
Niklosk,1/7/1900,,"On Jan. 7 we arrived in Nikolsk. We disembarked from the train and a new world greeted us. We can now see white faces for up to now we have only seen the dark­ skinned Chinese. Many of us lifted our hands to the Living God that He helped us in our needs and troubles without end and protected us from all evil. And we prayed for continued help that we should not have to face again the evil, dark-as-the-devil Chinese with their long braids.

We arrive at the railroad station in Nikolsk as the music is playing. We disembark from the train. We were happy to be finished with Manchuria where we could have gotten killed.  We were delighted to see a Russian city again in front of us.  Then as we look around we see people dark faced as the    Chinese.	They are dressed from head to toe in white and are wearing fedora style hats. At first we thought that they were ghosts, but ghosts don't wear fedoras. We asked around what kind of animal this was and we were told that these were Koreans.

Nikolsk is a large Russian city.   Here you find people of various nationalities. Russians, Poles, Chinese and Koreans.  You  even  find  a couple  of  Jews  here and the  dark-faced  Japanese  who  are  all  dressed  in  European  clothes.
",,,,,,,,,
Vladivostok,3/5/1901,3/5/1901,"Vladivostock is an important sea-port and many large ships are waiting here to loaded or unloaded.

As we got off the train we were all very happy that we were about to leave for Russia. We stacked up our rifles and busied ourselves removing our gear from the baggage cars. We were taking home several flags as well as a few Chinese artillery pieces, rifles, swords and a small Chinese boy. These things were to serve as our remembrances of China.

Everything was taken out of the train, laid down on the ground and then was loaded onto the ship.
A Chinese baron was traveling with us. We were also carrying a load of long Chinese pipes.

When everything was loaded we went to the baths. After a good wash we boarded the boat. So ended the march in Manchuria. We thanked God that we overcame everything thus far and so far from home - and now we have arrived at this point. Total Population: 28,933 Russian Orthodox Population: 14,056 Buddhist Population: 12,616 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census 
",,"43.178713, 132.000132",RussiaTrek,http://russiatrek.org/vladivostok-city,,,,,
Nagasaki,3/9/1901,3/12/1901,"After sailing for three days we arrive at an island in the Sea of Japan. On the 9th of March at 5:00 in the afternoon, we enter the port city of Nagasaki. After the ship has docked at the pier a Japanese inspection crew boards us. They are to inspect both cargo and passengers.	As it turns out, it's a mere formality and they depart as soon as they arrived. There are ships from many countries anchored at the Port of Nagasaki; we see flags from various nations - American. English. French and Japanese.

Suddenly, a flotilla of small boats approaches our vessel. They are packed full of goods for sale; we can buy anything imaginable. All kinds of food stuff, baked goods, citrus fruit, cigarettes and soft drinks. They also have gold and silver jewelry. The desire to purchase something is very strong but most of us have little or no money, so we have to satisfy ourselves with just enjoying the sight. Some passengers got into a fist fight with the vendors after not being able to pay for their purchase.	One person got beat up to serve as an example for others, not to take merchandise   for which he was not able to pay. The cheapest of all goods was tea 25 to 30 kopeks a pound where as in Russia, it would cost 2 or even 3 Rubles,

Each day for three days, the little boats kept coming and the bartering went on. Everything that one's heart desired was for sale. Clothing especially, was very inexpensive. Things such as shirts, pants, socks, etc.

Finally, our boat loads up with fuel (coal), water, food and other supplies and on March 12th, in the morning, we leave Nagasaki. Our destination - Singapore.

Soon we notice a drastic change in the weather. It's getting very hot and we feel the heat increasing as the day progresses. We receive orders to don our white outfits – pants, shirts and white cap. These are supposed to protect us from the sun and heat and were especially made for us in Nikolsk. When we look at ourselves and each other, we can't help but laugh, because we look like the walking dead!

We sail on and see nothing but endless seas, blue sky and a hot sun. Occasionally, we pass another boat or small island, and then again, the same monotony.

The heat becomes almost unbearable.	Our new clothing is getting wet and heavy, as we sweat profusely. Had it not been for our sense of feeling ashamed, we would have walked about naked!

Our boat begins to rock back and forth and from side to side. A motion disagreeable to most of us and we begin another bout with sea sickness.  We are trying to stay on deck since sea sickness below deck is an even worse experience. But there is little or no room for everybody, and it's impossible to find a shady spot to be protected from the punishing sun rays.

Every other day is laundry day. We have to do it ourselves and the only water we can use is salt water.	We find the salt water needs more soap to make suds and that presents a problem, as well. We have to do the best we can under the circumstances and hopefully our soap supply will outlast our dirt.
",,"32.768438, 129.877698",Endless Discovery - Nagasaki,http://visit-nagasaki.com/History/,,,,,
Singapore,3/20/1901,3/21/1901,"These were the conditions and circumstances under which we sailed until the 20th of March, the day we finally reached Singapore.

Singapore is a large city in lndo-China and it's owned by England. The population here is a mixture of various races: Hindus. Chinese. Malayans and Arabs. The complexion of most is very dark and the only white feature outstanding is their teeth which shimmer with brightness.

To our surprise, we also found some Jews, which at first made us happy. But then, to our chagrin, we realized that they didn't want to admit their Jewishness and turned away from us.
 -'l'h -WGS-4-.I""wl   d ppo.inimenLio-me  .and-som.e.oL nzy.Jellow .Jew.s.. JL 
It was Passover time and we were very happy when we saw other fellow Jews. Who could help but recognize our brethren when the distinctive kugl (28) on their faces was a sure giveaway?

We'll have to celebrate Passover on the boat as best as we possibly can. ""Maror"" is plentiful. Our lives and fate are full of bitterness. ""Saltwater” - there's plenty of it; we are surrounded by a salty sea. We are even able to obtain eggs, thanks to the local vendors. The only thing we can't get is ""Matzos."" Had we been able to obtain that, we could really have had a great Passover celebration. But there's no use in bemoaning our sad circumstances. We are lucky to be alive and well and we are on our way home - thank the almighty God.

We are still decked in Singapore Harbor, but are not permitted to visit the city. Small boats with goods for sale keep on arriving and luckily, we are able to purchase some ""goodies"" using Russian money.

For 5 kopecks, we can buy a pineapple as big as a human head. The biggest surprise food is the coconut, which we have never seen, let alone eaten before. It was also very inexpensive. The coconut is not a fruit which is easily opened, inexperienced as we were at this task. But finally, when we managed to pierce through its hard shell, we found a white milky substance which was as sweet as sugar and tasted delicious. There was a soft creamy paste inside which was delicious as well.

The same day, after supper, we were told that we would be allowed to visit the city of Singapore. I was one of the first ones to report. But they wouldn’t let us go on our own. Soon we found out the reason for the restriction. There were apparently desertions in the past and Fonie (29) is afraid of future escapes.

Finally, after a lot of thinking and organizing we are allowed to march ashore in small groups, headed by officers and non-commissioned personnel.

We stroll aimlessly through the city streets and view everything with great delight. We see enormous buildings, lots of shops stocked with various goods, and a throng of people buzzing like bees. Our feet are beginning to feel sore. Finally, around midnight, we are escorted back to our ship and fall asleep right away, as we were all exhausted.
",,"1.279378, 103.846326",Britannica,http://www.britannica.com/place/Singapore/Cultural-life#toc214573,,,,,
Colombo,3/26/1901,,"We survived the storm though and on the 26th of March we arrive at the city of Colombo in Ceylon which is a British colony. There are many boats in the harbor and we see flags of many countries such as American, British, French, Chinese and Japanese. The people here are different as well.	Some are white but many are black as soot. Their teeth though, are extremely white and shimmer like crystal.

Suddenly, our attention is drawn to a little wooden raft with about six people on it. For a penny, they'll sing a song. For some small change, they'll sing-and clap hands and perform various other tricks. Some of the ship's officers decide to have some fun. They invite the performers to come on board, all the way to the upper deck.  
From there, the officers toss some money into the sea and tell the poor souls to jump after it. We look at the spectacle and fear for the lives of the local performers.  They're sure to get killed or drown if they jump. Is it worthwhile to risk one’s life for a few pennies? Will they jump? We wait to see what will happen. For a moment, they hesitate but then, they suddenly seem to gather strength and leap from the upper deck - about three stories high - to the bottom of the sea to retrieve the money.

We are all speechless and watch in horror over what has happened. Surely, they won’t survive.

But, after a few minutes, they all emerge safe and sound. They signal with their hands that they have accomplished their task get back on their raft and wave goodbye to us all. We feel greatly relieved and look upon what happened as a good omen. Our boat remained in Colombo for a while longer. This time in addition to our regular supplies of coal, water and food we also get all kinds of goods to be taken to Odessa, our final destination.
",,"6.927768, 79.862482",ColomboGuide,http://www.colomboguide.net/Colombo-History/history-of-the-colombo-city.html,http://www.colomboguide.net/images/about-colombo/hitory/galle-face-colombo-ceylon-1880s.jpg,lankapura.com,,,
Perim Island,4/5/1901,,"On the 4th of April an event occurred which gave us quite a shock. One of our officers died suddenly. Luckily for him, we were not far from our next port of call - Perim. We arrived at Perim at 9 in the morning , the following day. Perim was actually a small island at the southern entrance of the Red Sea and it was a British colony. Sadly, Perim was destined to be the final resting place for the poor officer.

On a small boat, accompanied by an honor guard of riflemen, the officer's body was taken to the Perim Island. There, as we were told later, the officer was given his final rites, according to full military honor with pomp and ceremony.

None of the members of my company knew the officer nor did any of us have any particular love for an officer yet we all felt sad. We felt sad because this officer had managed to survive the war and was on his way home, and here, suddenly, he is buried in a strange land, far away from his home and family. The only thing we had to be grateful for was that he was not thrown into the water - that would have been a cruel fate - to be eaten by fish in the ocean.
",,"12.655077, 43.430460",Wikipedia,https://en.wikipedia.org/wiki/Perim#History,,,,,
Seuz City,4/10/1901,,"On a quiet morning, April 10th, we arrived at Suez city, a big port at the southern tip of the Suez Canal. It looks like the city is surrounded by water on all sides. It looked like the boat was gliding through the city street.        We couldn't help but admire the beautiful buildings and the well-manicured gardens that we saw. And. as we marveled at everything before our eyes I thought it was a paradise. The people were all well and colorfully dressed. We saw Britons in their European garb and Arabs and Turks in their colorful robes. Everybody was very friendly and welcomed our arrival. Some were waving their hats in a welcoming greeting, others waved handkerchiefs.        We passed by a French vessel and. as our band started to play a cheerful tune, we proceeded to holler on top of our voices: ""Hurrah, hurrah!"" as is customary when saluting a friendly nation.

The French and our Czar are now on friendly terms, thus the reason for the big commotion. The French vessel did not carry an orchestra with them, but the crew on board still managed to greet us warmly. In the meantime, out boat had to dock and as it turned out, we were supposed to wait for a pilot boat which would guide us through the Suez Canal to Port Said.

When the pilot boat arrived, it was already dark. But the pilot boat is equipped with electrical lights which cast a strong light upon the water for hundreds of feet ahead. Again we were stunned at this kind of a modem, wonderful achievement.

Thus our journey began through the Suez Canal. At first we go through and past the city of Suez itself.   Even  at night  we  are  able  to  see that  the  city  is very  big,  and  the canal  is  like  a  street  cutting  through  it.   It was pitch dark when we were sailing through the canal.  but  the  strong  lights  of  the  pilot  boat  illuminated  our  way beautifully   - it  almost  looked  like  daylight  was  in  front  of  us.   The  canal  is very narrow  and  when  another  boat  approaches  from  the  opposite  direction, one  has to stop to  allow  room  for  the  other  to pass.	That  is the  only way  the  boats  can  navigate their  passage  through  the  canal  in  both  directions. It took us a whole night to sail through the canal and the following day, April 11th, we arrived at Port Said.",,"29.968215, 32.548402",Ask Aladdin,http://www.ask-aladdin.com/Egypt_cities/Suez.html,,,,,
Port Said,4/11/1901,,"The city and the canal used to belong to France, but now belong to England. Two important people were associated with the construction of the canal, a Frenchman (Ferdinand de Leseps) and a Turk (Said Pasha - Turkish Viceroy to Egypt). A monument in their honor has been erected near  the  canal  and  their  images  are  right there   for all  to  see,  pointing  their  hands  toward  the waterway.	It took many years   to build the canal and it cost “buckets of money."" Before  the  canal's  existence  it  would take  an  extra  month  to  make  the  trip  from  Asia  to  Africa to  the  Mediterranean. Now it only takes a day and it costs 1.000 Rubles. Of course, without money, no ship is allowed through the canal.

Port Said is a big harbor and a city with an international population. British, French, Greek, Turkish, Arabic and even Jewish people lived there. The Jewish people, though, speak Arabic or ""Loshn Koidesh (30)"" and do not speak ""jargon (31)."" Most Jews we encountered are dressed like the local populace. They are mostly merchants, and they came aboard offering goods for sale. Things like hand-made rugs and jewelry. They are fluent in English. French. Russian, but not Yiddish. We asked them if there were many Jewish people in Port Said and their answer was about 50 families who originally were exiled generations ago from the Holy Land and found refuge in Egypt.

Egypt was truly not far from the Holy Land. As we departed Port Said, somebody pointed out to us and at a distance, we could distinguish the contours of Mount Sinai where our forefathers received the Holy Torah. In addition, we could also see the location where Moses and the children of Israel crossed the Red Sea on their way to the Promised Land.
",,"31.267515, 32.300619",Britannica,http://www.britannica.com/place/Port-Said,,,,,
Dardanelles,4/13/1901,,"On April 12th, a strong rain accompanied by strong winds hit our ship again.	It was something very terrifying, and I was sure that we'd be lost forever. It's impossible to gain a secure foothold anywhere on board. The ship was tossed around like a mere toy, and people were falling over each other in a futile attempt to stay in one place.

Some were keeling over, others complained about tremendous headaches; others were just too exhausted and were suffering in silence. The Mediterranean was supposed to be a ""quiet"" sea but we sure were proven wrong.

In spite of the bad weather, our ship maintained its course, and on April 13th, we reached the Dardanelles in Turkey. By then the storm abated and we crossed the narrow passageway sailing towards the fortified city of Konstantinopol ",,"40.2000, 26.4000",Britannica,http://www.britannica.com/place/Dardanelles,,,,,
Konstantinopol,4/13/1901,,"The city is of enormous size and has very strong fortifications. They go back to the days when the Turks fought against the Russians (33). Konstantinopol became an international city with military garrisons of France, Britain and even Russia, making their presence felt there.

Again, we were being swamped by local merchants who arrived with all kinds of exotic fabrics for sale, such as hand-woven rugs, colorful kerchiefs, shawls, etc. We were already saturated with this kind of merchandise, yet it was always interesting and colorful to both watch and participate in the barter. We were at the time, running out of soap, especially the kind which we used for laundry. We were hoping that we'd be able to get it from the local merchants. We needed to do our last load of laundry before arriving in Russia. So, for the last time, the boat took on provisions, as we were about to enter the home waters of the Black Sea - on our way to our final destination - Odessa.

As rumor had it, though, we were to sail to Feodosiya instead of Odessa, our original destination. But, what difference does it make to us soldiers, as long as we were finally back in our homeland? At last, the end to this boat trip. In the meantime, one of the soldiers on board suddenly died. Unlike the officer before him, who was given almost royal burial, the soldier's body was going to be disposed of forthwith. Soldiers were a ""dime a dozen"", and the procedure for burial at sea was as follows: The body is bound with ropes to an iron rod, which, in turn, is put in a canvas bag and tucked in tightly. Then the bag is sewn tightly.	The ceremony is short and lasts only a few moments. Only a brief prayer is said. The body then glides off a wooden plank into the sea and the poor soul is allowed to ""learn how to swim."" However, he won't ""swim"" very long; soon the body will be attacked by sharks, who sniff the dead body out and proceed to have a royal feast. The scene was so gruesome and inhumane that most of us turned away, sickened, unable to witness the spectacle.",Constantinople ,"41.0122, 28.9760",New Advent,http://www.newadvent.org/cathen/04301a.htm,,,,,
Feodosiya,4/15/1901,4/15/1901,". April 15th at 2:00 in the afternoon we arrived and anchored near the city of Feodosiya. Our boat was to wait for a signal to enter the harbor as was customary for a boat bringing back home military troops. The signal came in the form of   three salvos from a cannon. When our ship got the message, she proceeded into the harbor and docked at the pier.

It was now 9:00 in the morning and a huge crowd was present to welcome us. An orchestra played and the orchestra aboard the ship played as well. There was big noise and commotion, which we haven't heard and or seen since we left Vladivostok. We were finally home!

A photographer came aboard and began to take pictures of us in various places on the boat so as to cover our return and show the boat which brought us back home. This took about an hour and gradually, the crowd on the dock began to disperse and the music subsided. We began to wonder what would happen next and when we would be allowed to disembark. 

While we were waiting for orders rumors began to spread about what might happen to us next. Some said that we'd probably have to undergo a thorough medical troops returning from the war. But what happened next was not exactly what the examination. Feodosiya was the military headquarters and assembly point for all rumors were all about. When our orders finally came to leave the boat we were extremely happy and thankful to the good Lord that he was no longer having us sail in the ""seven seas"" and that we were alive and well. 

First our belongings were put on wagons and we were taken of all places to the customs office for an inspection. Who would have expected that of all things, the first thing would be an examination of our belongings to see if we didn't bring in ""contraband"" from our foreign pursuits?

I personally had nothing of value or importance to declare nor did any of my fellow soldiers.	The whole thing was a real farce and we certainly weren't afraid of the consequences of the customs inspection. The inspection was finally over and we were taken to the bath- house. This was really a treat as we had not taken a real bath for ages. We were very happy with the turn of events after the customs inspection and all.

We felt like newborn babies, fresh and clean and really good about ourselves. We went back to the assembly point when the order was given and we all broke out in song as we were marching along. Our regimental orchestra went back into action and suddenly we felt like soldiers again, but of a happy sort. Not the kind of soldiers who go to war, but the kind that return from war, back to peace and life. At first we didn’t know where we were heading. We knew that Zhmerinka was our final destination, it was our home base, but how soon we'd be on our way there was still
Unknown to most of us soldiers.

At the assembly point, an orchestra was playing again and we were given food fit for a king. ""Fonie"" was generous and we were all fed as follows: white bread (it tasted like challa) and a big portion of halva (34) which we hadn't seen in ages.  To finish it off. We also each received a glass of vodka - a royal treat.

Finally, the time came for us to leave Feodosiya, which after all we had suffered through, gave us such a nice welcome. We were put on wagons with our gear, which was quite a luxury, and off to the railway station to board the train back to Zhmerinka, at last.

In all the commotion, while boarding the train, we noticed something unusual. A young Chinese boy, dressed in Russian military garb was being closely watched by an officer. As we found out earlier, the officer brought the boy from Manchuria as a ""trophy"", a memento of his adventures in a foreign land. The Russian soldiers followed him with their eyes in disbelief. Some threw coins at him, perhaps to see if he would dance. The more daring ones just   plain poked   fun at him and asked him to reveal his braid, which was neatly covered beneath his cap.

After this bit of ""fun and games"", we were assigned our seats on the train. The train was very crowded. And there were more of us than there were seats. We had to make the best of it in our assigned car.  Soon we began to sweat from the heat and crowded conditions. Our neat bath and fresh clothing were a thing of the past. A lengthy train trip was about to begin.
",,"45.032903, 35.377084",Britannica,http://www.britannica.com/place/Feodosiya,,,,,
Melitopol,4/16/1901,,"We left Feodosiya around 10:00 p.m . The following day, April 16th we arrived at Melitopol. We didn't even leave the train. We were fed supper and continued on our way. By then, we were all tired from traveling. As uncomfortable as we were in our crowded quarters on the train, we all fell soundly asleep, right on top of one another.",,"46.857327, 35.356285",Wikipedia,https://en.wikipedia.org/wiki/Melitopol#History,,,,,
Alexandrovsk,4/17/1901,,"After another long night's journey, we would be at another stop. On April 17th, we arrived at Alexandrovsk. It dawned on us then that some of the stations where we stopped were merely switching stops and did not warrant a lengthy sojourn in the particular spot. In Alexandrovsk, we stopped for a few hours which gave us an opportunity to stretch our legs and limber up a bit.",,"59.157068, 57.595062",Wikipedia,"https://en.wikipedia.org/wiki/Alexandrovsk,_Perm_Krai",,,,,
Ekaterinoslav,4/18/1901,,"We were received with big fanfares. An orchestra and a big crowd were waiting for us. The orchestra played and the crowd was noisy and jovial. There were military and civilian people among the multitude. Friends and family came to see who returned from the war, in the hope of finding some of their own. We mingle with the people and they ask us many questions as they are very curious about our experiences. They asked us where we were corning from and where we were going and also did we know such and such a person.

Eventually, our socializing came to an abrupt end. An order and call for assembly came. We fell into line. The good news was that we were going to be fed and rumor had it that it would be a good supper, something that we hadn't had since the day we left Feodosiya.

Music played, and we were led marching like a ""kale zu der khupe (36)"" The crowd probably thought that we were led to perform an important duty, and deserved the biggest of honors.        We were fed a good, hot meal at the local army barracks. Soon after, we were led back to the train station to board our train and continue our journey.

At the train station, there was still a crowd, though somewhat smaller than before. People were still asking questions about our past experience. Some of us were tiring of answering the same questions. Many told of unheard stories of ""bravery"" and ""courage"" just to impress their listeners and thus to get rid of them. The people were left to mull over what they had been told.

Tired as we were by then we were grateful when the order came to return to our train compartment. It became dark suddenly and the crowd started to disperse. Our orchestra started to play again, but we were too tired and mentally drained to appreciate the ongoing merriment. Finally, around midnight, the train whistled to indicate that we were about to depart. We knew that we still had some way to go before we would arrive at Zhmerinka.",Dnepropetrovsk,"48.472087, 35.034002",Jewish Virutal Library,https://www.jewishvirtuallibrary.org/jsource/judaica/ejud_0002_0005_0_05279.html,,,,,
Znamenka,4/19/1901,,"After a whole night's journey, we arrived in Znamenka on April 19th. Our stopover there was a short one. We were given a hot meal out of a field kitchen, stationed at the railway station, and were thankful for the good meal.",Znamianka,"48.719512, 32.676560",Wikipedia,https://en.wikipedia.org/wiki/Znamianka,<- find more,,,,
Kristinka,4/20/1901,,"We continued to travel, and on the 20th, we arrived at another small railway station named Kristinka. We stopped there for a short while and were given some food which served as our main meal for the day.

We were also allowed to walk around and limber up a bit. It felt good to roam around the station grounds - especially in view of the fact that the crowded quarters of our train were making us physically sick and unfit.
",,"48.719512, 32.676560",,,,,,,
Wapniarka,4/20/1901,,"Wapniarka was our next stop. It's a small town, known for its deep, muddy soil in which people and horses get bogged down deep to their knees. Luckily for us, it did not affect the movement of our train - we were not impeded in any way. Also, to our delight, we found out that Wapniarka was our last stop before Zhmerinka, our final and last stop - - end of our troubles and travels!

The latest news was like a dream come true. We'll finally return to our home base, but we dared not dream yet of our near homes, the places where we had our humble beginnings in the Czar's army. The place from which we started on our long and   hard campaign to Manchuria, half way across the world. With God's help, all this would be behind us, and we were returning from the war unharmed, something many of us didn't expect or believe would happen.

We all became very excited and elated. We couldn't sit still in our seats and kept a constant look out for Zhmerinka. It was night and pitch dark outside. We couldn't see much out of our train compartment windows, and it also started to rain. The rain fell harder and harder, and we could hear it on the roof of the train. Water started to gush through cracks in the windows.	Rain was also seeping in through the doors and the ceiling. As this downpour continued, so did our excitement and anticipation. Even though we had no one in our train compartment who knew exactly where we were or how far we were from Zhrnerinka, we knew and sensed that we were quite near our destination.
",Vapniarka,"48.534102, 28.741219",Wikipedia,https://en.wikipedia.org/wiki/Vapniarka,,,,,
Zhmerinka,4/20/1901,,"When we finally arrived in Zhmerinka, it was still raining; the rain came down by the bucketful. It was the middle of the night and the train station was flooded with light like daylight. In spite of the rain.  There was an orchestra present and a big crowd. The size of which we had not seen   before. It looked like the whole of Zhmerinka was there to welcome us. As soon as the train stopped, we were anxiously awaiting the order to get off the train and fall in line for a march back to our home base.

But our commanding officers didn't seem to be in a hurry. They must have had better accommodations on the train than we had, and probably weren't anxious to start marching in the pouring rain. The crowd outside found some protection underneath the extended roof of the small station and waited patiently. As if to answer our prayers, the rain suddenly abated. The orchestra started to play some cheerful marches and our officers finally ""got their act together"" and ordered us out of the train. Not only that, but we got a fifteen minute time off to mix with the crowd and find friends or relatives. The people in the crowd were as anxious to see us as we were to see them. Personally, I did not expect members of my family to come see me all the way from Warsaw. I was happy, though for I was getting physically closer to my real home, and the main thing was that I was alive and well. The reception we received was incredible. We were hugged and kissed by so many people we didn't know. Men were wiping their eyes with big handkerchiefs, women were sobbing aloud, unabashedly. Some of the soldiers found their relatives, and their joy was the greatest. The whole scene was bedlam - and for good reason.        How often does a trainload of soldiers arrive from the war? We had all been away a very long time and had experienced all kinds of hardships, not to mention the danger of being killed. The thought of those who hadn't returned alive, sort of flashed through my mind.  But, at the moment, the joy and happiness experienced by all overwhelmed that kind of thought.

Finally, after what seemed to be only a short reprieve, we were given our marching orders. We all fell in line, carrying our belongings on our backs, ready to return to our home barracks. As the music played ahead of us, and some of the crowd followed us, we marched back to the Zhmerinka home base. We trudged through the deep mud, after the rain. Wet and tired as we were with heavy loads on our backs (heavier due to being wet), we used our elation to help us overcome our fatigue. This made our steps lighter and our determination to reach our barracks even stronger.

Even though we were exhausted, we laughed on the inside and thanked the Lord for our good fortune. We had made it alive and returned home from a cruel war, and a possibly sad fate - back home to Russia and Zhmerinke. At last, in the distance, we could see the lights of the barracks beckoning to us and we felt like we were in Paradise!",Zhmerynka,"49.040396, 28.111535",Jewish Virtual Library,http://www.jewishvirtuallibrary.org/jsource/judaica/ejud_0002_0021_0_21531.html,http://photos.wikimapia.org/p/00/02/53/86/28_big.jpg,,,,